Metric ID,Sector,Industry,Metric Name,Metric Description,Quantitative / Qualitative,Unit,Topic,Topic Description,Primitive Bindings,Outcome Node Bindings,Binding Notes
HC-DI-260a.1,Health Care,Health Care Distributors,Description of methods and technologies used to maintain traceability of products throughout the distribution chain and prevent counterfeiting,Description of methods and technologies used to maintain traceability of products throughout the distribution chain and prevent counterfeiting,Discussion and Analysis,,Counterfeit Drugs,The World Health Organization (WHO) estimates that counterfeit drugs represent more than 10% of the pharmaceutical supply chain in low- and middle-income countries. The issue of counterfeit or substandard medication also presents a significant risk in developed economies. Health Care Distributors may face added costs as applicable jurisdictional legal or regulatory authorities implement drug supply chain regulations to prevent counterfeit or mislabelled drugs from entering the pharmaceutical distribution system.,"QA, SC","R:BrandEquity, R:LicenceToOperate",Product traceability and anti-counterfeiting methods signal distribution chain integrity and brand equity/licence-to-operate in health care distribution
HC-DI-260a.2,Health Care,Health Care Distributors,Discussion of due diligence process to qualify suppliers of drug products and medical equipment and devices,Discussion of due diligence process to qualify suppliers of drug products and medical equipment and devices,Discussion and Analysis,,Counterfeit Drugs,The World Health Organization (WHO) estimates that counterfeit drugs represent more than 10% of the pharmaceutical supply chain in low- and middle-income countries. The issue of counterfeit or substandard medication also presents a significant risk in developed economies. Health Care Distributors may face added costs as applicable jurisdictional legal or regulatory authorities implement drug supply chain regulations to prevent counterfeit or mislabelled drugs from entering the pharmaceutical distribution system.,"QA, SC","O:QualityDefectRate, R:LicenceToOperate",Supplier qualification due diligence for drugs and medical devices signals quality defect rate governance and licence-to-operate in health care distribution
HC-DI-260a.3,Health Care,Health Care Distributors,Discussion of process for alerting customers and business partners to potential or known risks associated with counterfeit products,Discussion of process for alerting customers and business partners to potential or known risks associated with counterfeit products,Discussion and Analysis,,Counterfeit Drugs,The World Health Organization (WHO) estimates that counterfeit drugs represent more than 10% of the pharmaceutical supply chain in low- and middle-income countries. The issue of counterfeit or substandard medication also presents a significant risk in developed economies. Health Care Distributors may face added costs as applicable jurisdictional legal or regulatory authorities implement drug supply chain regulations to prevent counterfeit or mislabelled drugs from entering the pharmaceutical distribution system.,"CM, SC","R:BrandEquity, R:CustomerChurn",Counterfeit product alert process to customers and partners signals supply chain integrity and brand equity/customer churn in health care distribution
HC-DI-410a.1,Health Care,Health Care Distributors,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle,Discussion and Analysis,,Product Lifecycle Management,Health Care Distributors have a responsibility to reduce the environmental impact of the products that they distribute. Specific opportunities to address these impacts exist in product packaging and take-back programmes. Entities that manage these concerns properly may meet customer demand and reduce associated costs more effectively.,"EP, SC","E:ESGRating, R:BrandEquity",Packaging lifecycle environmental impact reduction strategies signal ESG rating and brand equity in health care distribution
HC-DI-410a.2,Health Care,Health Care Distributors,"Amount (by weight) of products accepted for take-back and reused, recycled, or donated","Amount (by weight) of products accepted for take-back and reused, recycled, or donated",Quantitative,Metric tonnes (t),Product Lifecycle Management,Health Care Distributors have a responsibility to reduce the environmental impact of the products that they distribute. Specific opportunities to address these impacts exist in product packaging and take-back programmes. Entities that manage these concerns properly may meet customer demand and reduce associated costs more effectively.,"EP, QA","E:ESGRating, O:InventoryObsolescence","Product take-back, reuse and recycling volume signals ESG rating and inventory obsolescence governance in health care distribution"
HC-DI-510a.1,Health Care,Health Care Distributors,Description of efforts to minimise conflicts of interest and unethical business practices,Description of efforts to minimise conflicts of interest and unethical business practices,Discussion and Analysis,,Business Ethics,"Entities in the Medical Equipment & Supplies industry are subject to various international, national and local laws pertaining to health care fraud and abuse. An entity?s ability to ensure compliance throughout its global and domestic operational footprint may have notable effects on enterprise viability and reputation. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern interactions with health professionals may better allow investors to monitor performance in this area.","CM, RG","E:RegulatoryFine, R:LicenceToOperate",Conflict of interest and unethical practice minimisation efforts signal ethical governance quality and licence-to-operate/regulatory fine risk in distribution
HC-DI-510a.2,Health Care,Health Care Distributors,"Total amount of monetary losses as a result of legal proceedings associated with bribery, corruption, or other unethical business practices 2","Total amount of monetary losses as a result of legal proceedings associated with bribery, corruption, or other unethical business practices 2 ? The entity shall briefly describe the nature, context and any corrective actions taken because of monetary losses.",Quantitative,Presentation currency,Business Ethics,"Entities in the Medical Equipment & Supplies industry are subject to various international, national and local laws pertaining to health care fraud and abuse. An entity?s ability to ensure compliance throughout its global and domestic operational footprint may have notable effects on enterprise viability and reputation. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern interactions with health professionals may better allow investors to monitor performance in this area.","CL, RG","E:RegulatoryFine, R:LicenceToOperate",Monetary losses from bribery and corruption proceedings crystallise regulatory fine and licence-to-operate risk in health care distribution
HC-MC-230a.1,Health Care,Managed Care,Description of policies and practices to secure customers? personal health data records and other personal data,Description of policies and practices to secure customers? personal health data records and other personal data,Discussion and Analysis,,Customer Privacy & Technology Standards,"Applicable jurisdictional laws or regulations may establish various data security requirements relating to the use, disclosure, storage and transmission of patient health information. Entities are required to develop policies and technical safeguards to protect patient health information. A failure to comply with these standards can lead to significant civil and criminal penalties. These risks are intensified by an increase in cyberattacks that target managed care entities.","CY, DT","R:BrandEquity, R:CustomerChurn",Health data security policies signal cybersecurity governance quality and customer churn/brand equity risk in managed care
HC-MC-230a.2,Health Care,Managed Care,"Number of data breaches,
percentage involving (a) personal data only and (b) personal health data,
number of customers affected in each category, (a) personal data only and (b) personal health data 1","Number of data breaches,
percentage involving (a) personal data only and (b) personal health data,
number of customers affected in each category, (a) personal data only and (b) personal health data 1 ? The disclosure shall include a description of corrective actions implemented in response to data breaches.",Quantitative,"Number, Percentage (%)",Customer Privacy & Technology Standards,"Applicable jurisdictional laws or regulations may establish various data security requirements relating to the use, disclosure, storage and transmission of patient health information. Entities are required to develop policies and technical safeguards to protect patient health information. A failure to comply with these standards can lead to significant civil and criminal penalties. These risks are intensified by an increase in cyberattacks that target managed care entities.","CY, DT","E:RegulatoryFine, R:CustomerChurn",Data breach count and health data share signal cyber risk exposure and customer churn/regulatory fine in managed care
HC-MC-230a.3,Health Care,Managed Care,Total amount of monetary losses as a result of legal proceedings associated with data security and privacy 2,"Total amount of monetary losses as a result of legal proceedings associated with data security and privacy 2 ? The entity shall briefly describe the nature, context and any corrective actions taken because of monetary losses.",Quantitative,Presentation currency,Customer Privacy & Technology Standards,"Applicable jurisdictional laws or regulations may establish various data security requirements relating to the use, disclosure, storage and transmission of patient health information. Entities are required to develop policies and technical safeguards to protect patient health information. A failure to comply with these standards can lead to significant civil and criminal penalties. These risks are intensified by an increase in cyberattacks that target managed care entities.","CL, DT","E:RegulatoryFine, R:CustomerChurn",Monetary losses from data security legal proceedings crystallise regulatory fine and customer churn exposure in managed care
HC-MC-240a.1,Health Care,Managed Care,Percentage of total health care insurance premiums spent directly on medical claims and efforts to improve the quality of care,Percentage of total health care insurance premiums spent directly on medical claims and efforts to improve the quality of care,Quantitative,Percentage (%),Access to Coverage,"Entities in the Managed Care industry may improve a population?s access to health care by limiting plan costs and rate increases for health insurance in jurisdictions where private health insurance is prevalent. These improvements most significantly affect segments of the population that tend to have lower rates of insurance coverage. These entities generally must also comply with regulations intended to control plan costs, including medical loss ratios, as well as ensuring all applicants have access to coverage regardless of health status, gender or pre-existing conditions. Increased regulatory focus on health care costs and compliance with evolving regulations continue to present challenges for the industry.","FX, RG","F:GrossMargin, R:LicenceToOperate",Medical loss ratio signals claims cost governance quality and gross margin/licence-to-operate regulatory exposure in managed care
HC-MC-240a.4,Health Care,Managed Care,Description of policies and practices regarding customer access to coverage,Description of policies and practices regarding customer access to coverage,Discussion and Analysis,,Access to Coverage,"Entities in the Managed Care industry may improve a population?s access to health care by limiting plan costs and rate increases for health insurance in jurisdictions where private health insurance is prevalent. These improvements most significantly affect segments of the population that tend to have lower rates of insurance coverage. These entities generally must also comply with regulations intended to control plan costs, including medical loss ratios, as well as ensuring all applicants have access to coverage regardless of health status, gender or pre-existing conditions. Increased regulatory focus on health care costs and compliance with evolving regulations continue to present challenges for the industry.","CM, RG","R:CustomerChurn, R:LicenceToOperate",Customer access to coverage policies signal regulatory compliance quality and licence-to-operate/customer churn risk in managed care
HC-MC-250a.2,Health Care,Managed Care,Enrolee retention rate by plan type,Enrolee retention rate by plan type,Quantitative,Rate,Plan Performance,"Managed care entities manage performance in areas such as responsiveness, complaints, voluntary disenrollment and customer service to maintain competitiveness. In some jurisdictions, performance on important metrics may be factored into reimbursement rates and bonus payments. Disclosure on specific indicators related to plan performance may allow investors to understand how entities protect enterprise value.","CM, FX","F:GrossMargin, R:CustomerChurn",Enrolee retention rate by plan type signals managed care plan competitiveness and customer churn/gross margin quality
HC-MC-250a.3,Health Care,Managed Care,Percentage of claims denied that were appealed by customers and ultimately reversed,Percentage of claims denied that were appealed by customers and ultimately reversed,Quantitative,Percentage (%),Plan Performance,"Managed care entities manage performance in areas such as responsiveness, complaints, voluntary disenrollment and customer service to maintain competitiveness. In some jurisdictions, performance on important metrics may be factored into reimbursement rates and bonus payments. Disclosure on specific indicators related to plan performance may allow investors to understand how entities protect enterprise value.","CM, QA","O:QualityDefectRate, R:CustomerChurn",Reversed denial appeal rate signals claims quality defect rate and customer churn/plan fairness governance in managed care
HC-MC-250a.4,Health Care,Managed Care,Plan enrolee grievance rate,Plan enrolee grievance rate,Quantitative,Rate,Plan Performance,"Managed care entities manage performance in areas such as responsiveness, complaints, voluntary disenrollment and customer service to maintain competitiveness. In some jurisdictions, performance on important metrics may be factored into reimbursement rates and bonus payments. Disclosure on specific indicators related to plan performance may allow investors to understand how entities protect enterprise value.","CM, QA","O:QualityDefectRate, R:CustomerChurn",Plan enrolee grievance rate signals plan quality defect rate and customer churn/satisfaction governance in managed care
HC-MC-250a.5,Health Care,Managed Care,"Description of plan performance and ratings for offered plan types, by region","Description of plan performance and ratings for offered plan types, by region",Discussion and Analysis,,Plan Performance,"Managed care entities manage performance in areas such as responsiveness, complaints, voluntary disenrollment and customer service to maintain competitiveness. In some jurisdictions, performance on important metrics may be factored into reimbursement rates and bonus payments. Disclosure on specific indicators related to plan performance may allow investors to understand how entities protect enterprise value.","CM, QA","R:BrandEquity, R:CustomerChurn",Plan performance and ratings by region signal quality defect rate governance and customer churn/brand equity in managed care
HC-MC-260a.1,Health Care,Managed Care,"Percentage of enrolees in wellness programs by type: (1) diet and nutrition,
(2) exercise, (3) stress management,
(4) mental health, (5) smoking or alcohol cessation, or (6) other","Percentage of enrolees in wellness programs by type: (1) diet and nutrition,
(2) exercise, (3) stress management,
(4) mental health, (5) smoking or alcohol cessation, or (6) other",Quantitative,Percentage (%),Improved Outcomes,"Entities in the Managed Care industry can play a critical role in maintaining and improving the health of enrolees. Improved enrolee health can help entities develop a reputation for high-quality care, potentially leading to increased market share and improved margins. Some entities may participate in programmes that try to strengthen the relationship between enrolee health and entity value by linking employee performance to reimbursement rates and bonuses. Entities that take part in such programmes may develop a competitive advantage compared to those that do not. Entities that fail to deliver high-quality outcomes for enrolees may experience decreased market share, penalties such as fines and suspensions, and increased legal costs.","CM, HS","R:BrandEquity, S:PublicHealthBurden",Wellness programme enrolment rate by type signals managed care public health burden engagement and brand equity
HC-MC-260a.4,Health Care,Managed Care,Discussion of initiatives and programmes to maintain and improve enrolee health,Discussion of initiatives and programmes to maintain and improve enrolee health,Discussion and Analysis,,Improved Outcomes,"Entities in the Managed Care industry can play a critical role in maintaining and improving the health of enrolees. Improved enrolee health can help entities develop a reputation for high-quality care, potentially leading to increased market share and improved margins. Some entities may participate in programmes that try to strengthen the relationship between enrolee health and entity value by linking employee performance to reimbursement rates and bonuses. Entities that take part in such programmes may develop a competitive advantage compared to those that do not. Entities that fail to deliver high-quality outcomes for enrolees may experience decreased market share, penalties such as fines and suspensions, and increased legal costs.","CM, HS","R:BrandEquity, S:PublicHealthBurden",Enrolee health improvement initiatives signal public health burden engagement quality and brand equity in managed care
HC-MC-450a.1,Health Care,Managed Care,"Discussion of the strategy to address the effects of climate change on business operations and how specific risks presented by changes in the geographical incidence, morbidity and mortality of illnesses and diseases are incorporated into risk models","Discussion of the strategy to address the effects of climate change on business operations and how specific risks presented by changes in the geographical incidence, morbidity and mortality of illnesses and diseases are incorporated into risk models",Discussion and Analysis,,Climate Change Impacts on Human Health,"An increase in extreme weather events associated with climate change could have significant health impacts. These events, coupled with the potential spread of infectious diseases and food and water scarcity, may present material implications for the Managed Care industry through an increase in encounters with the health care system. Entities that manage the risks posed by extreme weather events and potential changes in the incidence, morbidity and mortality of illnesses and diseases may protect shareholder value better.","EP, RG","F:InsurancePremium, S:PublicHealthBurden",Climate change morbidity/mortality risk model strategy signals public health burden and insurance premium/actuarial risk in managed care
HC-MS-240a.2,Health Care,Medical Equipment & Supplies,Description of how price information for each product is disclosed to customers or to their agents,Description of how price information for each product is disclosed to customers or to their agents,Discussion and Analysis,,Affordability & Pricing,Health care cost containment and health care access regulatory initiatives may place downward pricing pressures on the Medical Equipment & Supplies industry. This pressure may be increased further by consolidation among health care providers and the role of government-sponsored insurance programmes. Entities that ensure fair pricing may limit the negative effects of cost containment as well as benefitting from the potential revenue opportunities associated with expanded access. Entities that successfully balance the risks and opportunities associated with cost containment and improved access to health care may increase their market share among segments of the population that might ordinarily be less likely to seek health care.,"CM, RG","F:GrossMargin, R:LicenceToOperate",Product price disclosure to customers/agents signals pricing transparency governance and licence-to-operate/gross margin in medical equipment
HC-MS-240a.3,Health Care,Medical Equipment & Supplies,Percentage change in: (1) weighted average list price and (2) weighted average net price across product portfolio compared to previous reporting period,Percentage change in: (1) weighted average list price and (2) weighted average net price across product portfolio compared to previous reporting period,Quantitative,Percentage (%),Affordability & Pricing,Health care cost containment and health care access regulatory initiatives may place downward pricing pressures on the Medical Equipment & Supplies industry. This pressure may be increased further by consolidation among health care providers and the role of government-sponsored insurance programmes. Entities that ensure fair pricing may limit the negative effects of cost containment as well as benefitting from the potential revenue opportunities associated with expanded access. Entities that successfully balance the risks and opportunities associated with cost containment and improved access to health care may increase their market share among segments of the population that might ordinarily be less likely to seek health care.,"FX, RG","F:GrossMargin, R:LicenceToOperate",Weighted average list and net price change signals pricing governance quality and gross margin/licence-to-operate risk in medical equipment
HC-MS-250a.1,Health Care,Medical Equipment & Supplies,"(1) Number of recalls issued, (2) total units recalled","(1) Number of recalls issued, (2) total units recalled",Quantitative,Number,Product Safety,"Information on product safety and side effects may be discovered after controlled clinical trials and approval. In such cases, entities are exposed to the financial implications of recalls and other adverse events, such as unfavourable media coverage, fines or investigations. Issues related to product safety, such as equipment failures, manufacturing defects, design flaws or inadequate disclosure of product-related risks, may result in significant product liability claims. Entities that limit the incidence of recalls, safety concerns and enforcement actions for manufacturing concerns may better protect shareholder value.","CL, QA","O:QualityDefectRate, R:BrandEquity",Medical device recall count and units recalled signal quality defect rate and brand equity exposure in medical equipment
HC-MS-250a.2,Health Care,Medical Equipment & Supplies,Products listed in any public medical product safety or adverse event alert database,Products listed in any public medical product safety or adverse event alert database,Discussion and Analysis,,Product Safety,"Information on product safety and side effects may be discovered after controlled clinical trials and approval. In such cases, entities are exposed to the financial implications of recalls and other adverse events, such as unfavourable media coverage, fines or investigations. Issues related to product safety, such as equipment failures, manufacturing defects, design flaws or inadequate disclosure of product-related risks, may result in significant product liability claims. Entities that limit the incidence of recalls, safety concerns and enforcement actions for manufacturing concerns may better protect shareholder value.","CL, QA","O:QualityDefectRate, R:BrandEquity",Products in public safety alert databases signal adverse event exposure and quality defect rate/brand equity risk in medical equipment
HC-MS-250a.3,Health Care,Medical Equipment & Supplies,Number of fatalities associated with products,Number of fatalities associated with products,Quantitative,Number,Product Safety,"Information on product safety and side effects may be discovered after controlled clinical trials and approval. In such cases, entities are exposed to the financial implications of recalls and other adverse events, such as unfavourable media coverage, fines or investigations. Issues related to product safety, such as equipment failures, manufacturing defects, design flaws or inadequate disclosure of product-related risks, may result in significant product liability claims. Entities that limit the incidence of recalls, safety concerns and enforcement actions for manufacturing concerns may better protect shareholder value.","HS, QA","O:QualityDefectRate, S:PublicHealthBurden",Product-associated fatality count signals post-market safety quality and public health burden/quality defect rate in medical equipment
HC-MS-250a.4,Health Care,Medical Equipment & Supplies,"Number of enforcement actions taken in response to violations of good manufacturing practices (GMP) or equivalent standards, by type 1","Number of enforcement actions taken in response to violations of good manufacturing practices (GMP) or equivalent standards, by type 1 ? The entity shall briefly describe the nature, context and any corrective actions taken because of enforcement actions.",Quantitative,Number,Product Safety,"Information on product safety and side effects may be discovered after controlled clinical trials and approval. In such cases, entities are exposed to the financial implications of recalls and other adverse events, such as unfavourable media coverage, fines or investigations. Issues related to product safety, such as equipment failures, manufacturing defects, design flaws or inadequate disclosure of product-related risks, may result in significant product liability claims. Entities that limit the incidence of recalls, safety concerns and enforcement actions for manufacturing concerns may better protect shareholder value.","QA, RG","E:RegulatoryFine, O:QualityDefectRate",GMP enforcement action count signals manufacturing quality compliance and regulatory fine/quality defect rate exposure in medical equipment
HC-MS-270a.1,Health Care,Medical Equipment & Supplies,Total amount of monetary losses as a result of legal proceedings associated with false marketing claims 2,"Total amount of monetary losses as a result of legal proceedings associated with false marketing claims 2 ? The entity shall briefly describe the nature, context and any corrective actions taken because of monetary losses.",Quantitative,Presentation currency,Ethical Marketing,"Entities in the Medical Equipment & Supplies industry face legal and regulatory challenges associated with product marketing. Direct-to-consumer advertisements for medical devices and outreach to physicians provide opportunities for entities to increase their market share. However, challenges arise from the potential for marketing off-label uses, which may result in significant fines and settlements. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern marketing activities may allow investors to develop a better understanding of performance in this area.","CL, RG","E:RegulatoryFine, R:BrandEquity",Monetary losses from false marketing claim proceedings crystallise regulatory fine and brand equity risk in medical equipment
HC-MS-270a.2,Health Care,Medical Equipment & Supplies,Description of code of ethics governing promotion of off-label use of products,Description of code of ethics governing promotion of off-label use of products,Discussion and Analysis,,Ethical Marketing,"Entities in the Medical Equipment & Supplies industry face legal and regulatory challenges associated with product marketing. Direct-to-consumer advertisements for medical devices and outreach to physicians provide opportunities for entities to increase their market share. However, challenges arise from the potential for marketing off-label uses, which may result in significant fines and settlements. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern marketing activities may allow investors to develop a better understanding of performance in this area.","CM, RG","E:RegulatoryFine, R:LicenceToOperate",Off-label promotion code of ethics signals ethical marketing governance and licence-to-operate/regulatory fine risk in medical equipment
HC-MS-410a.1,Health Care,Medical Equipment & Supplies,"Discussion of process to assess and manage environmental and human health considerations associated with chemicals in products, and meet demand for sustainable products","Discussion of process to assess and manage environmental and human health considerations associated with chemicals in products, and meet demand for sustainable products",Discussion and Analysis,,Product Design & Lifecycle Management,"Medical equipment and supplies entities face increasing challenges associated with the human and environmental impact of the industry?s products. Entities may face consumer and regulatory pressure to limit the use of material inputs associated with health concerns, while also addressing issues such as the energy efficiency and end-of-life disposal of specific products. Entities that address these concerns while engaging in efforts to enhance product take- back may satisfy consumer demand and reduce future liabilities better.","EP, QA","E:ESGRating, S:PublicHealthBurden",Chemical and environmental health process assessment signals ESG rating and public health burden risk in medical equipment product design
HC-MS-410a.2,Health Care,Medical Equipment & Supplies,"Total amount of products accepted for take-back and reused, recycled or donated, broken down by: (1) devices and equipment and (2) supplies","Total amount of products accepted for take-back and reused, recycled or donated, broken down by: (1) devices and equipment and (2) supplies",Quantitative,Metric tonnes (t),Product Design & Lifecycle Management,"Medical equipment and supplies entities face increasing challenges associated with the human and environmental impact of the industry?s products. Entities may face consumer and regulatory pressure to limit the use of material inputs associated with health concerns, while also addressing issues such as the energy efficiency and end-of-life disposal of specific products. Entities that address these concerns while engaging in efforts to enhance product take- back may satisfy consumer demand and reduce future liabilities better.","EP, QA","E:ESGRating, O:InventoryObsolescence","Product take-back, reuse and recycling volume signals ESG rating and inventory obsolescence governance in medical equipment"
HC-MS-430a.1,Health Care,Medical Equipment & Supplies,"Percentage of (1) entity?s facilities and
(2) Tier 1 suppliers? facilities participating in third-party audit programmes for
manufacturing and product quality","Percentage of (1) entity?s facilities and
(2) Tier 1 suppliers? facilities participating in third-party audit programmes for
manufacturing and product quality",Quantitative,Percentage (%),Supply Chain Management,"Supply chain quality is essential to protecting consumer health and corporate value. Entities that fail to ensure quality and traceability throughout their supply chains may be susceptible to fines, lost revenue and reputational damage. Additionally, entities may need to manage the use of material inputs that are considered scarce. Disclosure of supply chain audit programmes, strategies to ensure traceability and management of critical materials may better inform investors how entities in this industry are protecting shareholder value.","QA, SC","O:QualityDefectRate, R:LicenceToOperate",Third-party audit programme participation rate for own and Tier 1 facilities signals quality defect rate governance and licence-to-operate in medical equipment
HC-MS-430a.2,Health Care,Medical Equipment & Supplies,Description of efforts to maintain traceability within the distribution chain,Description of efforts to maintain traceability within the distribution chain,Discussion and Analysis,,Supply Chain Management,"Supply chain quality is essential to protecting consumer health and corporate value. Entities that fail to ensure quality and traceability throughout their supply chains may be susceptible to fines, lost revenue and reputational damage. Additionally, entities may need to manage the use of material inputs that are considered scarce. Disclosure of supply chain audit programmes, strategies to ensure traceability and management of critical materials may better inform investors how entities in this industry are protecting shareholder value.","QA, SC","O:QualityDefectRate, R:LicenceToOperate",Distribution chain traceability efforts signal quality defect rate governance and licence-to-operate in medical equipment supply chain
HC-MS-430a.3,Health Care,Medical Equipment & Supplies,Description of the management of risks associated with the use of critical materials,Description of the management of risks associated with the use of critical materials,Discussion and Analysis,,Supply Chain Management,"Supply chain quality is essential to protecting consumer health and corporate value. Entities that fail to ensure quality and traceability throughout their supply chains may be susceptible to fines, lost revenue and reputational damage. Additionally, entities may need to manage the use of material inputs that are considered scarce. Disclosure of supply chain audit programmes, strategies to ensure traceability and management of critical materials may better inform investors how entities in this industry are protecting shareholder value.","IR, SC","O:MaintenanceBacklog, R:LicenceToOperate",Critical materials risk management signals supply chain maintenance backlog and licence-to-operate exposure in medical equipment
HC-MS-510a.1,Health Care,Medical Equipment & Supplies,Total amount of monetary losses as a result of legal proceedings associated with bribery or corruption 3,"Total amount of monetary losses as a result of legal proceedings associated with bribery or corruption 3 ? The entity shall briefly describe the nature, context and any corrective actions taken because of the monetary losses.",Quantitative,Presentation currency,Business Ethics,"Entities in the Medical Equipment & Supplies industry are subject to various international, national and local laws pertaining to health care fraud and abuse. An entity?s ability to ensure compliance throughout its global and domestic operational footprint may have notable effects on enterprise viability and reputation. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern interactions with health professionals may better allow investors to monitor performance in this area.","CL, RG","E:RegulatoryFine, R:LicenceToOperate",Monetary losses from bribery and corruption proceedings crystallise regulatory fine and licence-to-operate risk in medical equipment
HC-MS-510a.2,Health Care,Medical Equipment & Supplies,Description of code of ethics governing interactions with health care professionals,Description of code of ethics governing interactions with health care professionals,Discussion and Analysis,,Business Ethics,"Entities in the Medical Equipment & Supplies industry are subject to various international, national and local laws pertaining to health care fraud and abuse. An entity?s ability to ensure compliance throughout its global and domestic operational footprint may have notable effects on enterprise viability and reputation. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern interactions with health professionals may better allow investors to monitor performance in this area.","CM, RG","E:RegulatoryFine, R:LicenceToOperate",Code of ethics governing HCP interactions signals ethical governance quality and licence-to-operate/regulatory fine risk in medical equipment
HC-MS-000.A,Health Care,Medical Equipment & Supplies,Number of units sold by product category,Number of units sold by product category,Quantitative,Number,Number of units sold by product category,,OX,F:GrossMargin,Activity metric: units sold by product category scales revenue base and capacity utilisation in medical equipment
IF-EU-110a.1,Infrastructure,Electric Utilities & Power Generators,"(1) Gross global Scope 1 emissions, percentage covered under (2) emissions- limiting regulations and (3) emissions- reporting regulations","(1) Gross global Scope 1 emissions, percentage covered under (2) emissions- limiting regulations and (3) emissions- reporting regulations",Quantitative,"Metric tonnes
(t) CO?-e, Percentage (%)",Greenhouse Gas Emissions & Energy Resource Planning,"Electricity generation represents the largest source of greenhouse gas (GHG) emissions in the world. Mainly carbon dioxide, methane and nitrous oxide, these emissions are mostly by-products of fossil fuel combustion. The transmission or distribution (T&D) segments of the industry produce negligible emissions. Electric utility entities could face significant operating costs and capital expenditures for mitigating GHG emissions as environmental regulations become increasingly stringent. Although many of these costs may be passed to a utility?s customers, some power generators, especially in deregulated markets, may be unable to recoup these costs. Entities may reduce GHG emissions from electricity generation through careful infrastructure investment planning by ensuring the delivery of an energy mix capable of meeting the emissions requirements set forth by regulations, and by implementing industry- leading technologies and processes. Being proactive in cost-effectively reducing GHG emissions may create a competitive advantage for entities and mitigate unanticipated regulatory compliance costs. Failure to properly estimate capital-expenditure needs and permitting costs, or other difficulties in reducing GHG emissions, may result in significant negative effects on returns in the form of asset write-downs, the costs to obtain carbon credits, or unexpected increases in operating and capital expenditures. Regulatory emphasis on this issue may increase in the coming decades, as exemplified by the international emissions-reduction agreement made at the 21st session of the United Nations Conference of the Parties in 2015.","GE, RG","E:CarbonLiability, E:ESGRating",Gross Scope 1 GHG emissions and regulatory coverage share signal direct carbon liability and ESG rating in electric utilities
IF-EU-110a.2,Infrastructure,Electric Utilities & Power Generators,Greenhouse gas (GHG) emissions associated with power deliveries,Greenhouse gas (GHG) emissions associated with power deliveries,Quantitative,"Metric tonnes
(t) CO?-e",Greenhouse Gas Emissions & Energy Resource Planning,"Electricity generation represents the largest source of greenhouse gas (GHG) emissions in the world. Mainly carbon dioxide, methane and nitrous oxide, these emissions are mostly by-products of fossil fuel combustion. The transmission or distribution (T&D) segments of the industry produce negligible emissions. Electric utility entities could face significant operating costs and capital expenditures for mitigating GHG emissions as environmental regulations become increasingly stringent. Although many of these costs may be passed to a utility?s customers, some power generators, especially in deregulated markets, may be unable to recoup these costs. Entities may reduce GHG emissions from electricity generation through careful infrastructure investment planning by ensuring the delivery of an energy mix capable of meeting the emissions requirements set forth by regulations, and by implementing industry- leading technologies and processes. Being proactive in cost-effectively reducing GHG emissions may create a competitive advantage for entities and mitigate unanticipated regulatory compliance costs. Failure to properly estimate capital-expenditure needs and permitting costs, or other difficulties in reducing GHG emissions, may result in significant negative effects on returns in the form of asset write-downs, the costs to obtain carbon credits, or unexpected increases in operating and capital expenditures. Regulatory emphasis on this issue may increase in the coming decades, as exemplified by the international emissions-reduction agreement made at the 21st session of the United Nations Conference of the Parties in 2015.","EP, GE","E:CarbonLiability, E:ESGRating",GHG emissions associated with power deliveries signal Scope 2 carbon liability and ESG rating for power delivery in electric utilities
